char,word
成,bi'kam
戒,ke@ma'ndme@nt
我,i:gou
或,sam
戕,ki'l
戚,gri:v
戛,halberd
戟,ha'lbert
戡,vi'kteri:
戢,pu't
截,se'ver
戮,ki'l
戰,wo`r
戲,plei
戴,re@si:v
戳,pouk
戶,
房,ta'se@l
戾,pervers
所,pleis
扁,le've@l
扇,fa'n
扈,fa`lou
扉,frant
手,ha'nd
才,dz'i:nye@s
扎,pu'l
打,straik
扔,t&rou
扒,skra'ts'
扣,na`k
扛,reiz
托,ri'kwe'sti'ng
抄,e'kstra'kt
抗,ke@nfrant
抖,s'eik
技,ski'l
扶,eid
抉,gaudz'
扭,tern
把,gra'sp
扼,ke@ma'nd
找,si:k
批,kri'ti'si'ze@m
扳,pu'l
抒,te'l
扯,reiz
折,fould
扮,i'mperse@neit
投,t&rou
抓,pi'k
抑,ri:pre's
承,a'kwi:e's
拉,la'te@n
拌,ster
拄,poust
抿,pre's
拂,kli'r
抹,rab
拒,ri'pe'l
招,be'ke@n
披,i'kspouz
拓,kli'r
拔,e'kstra'kt
拋,
拈,twerl
抨,i'mpi:ts'
抽,plak
押,pu's'
拐,ki'dna'p
拙,bangge@li'ng
拇,t&am
拍,kla'p
抵,ri'zi'st
拚,ri'sk
抱,e'mbreis
拘,ere'st
