char,word
敲,ts^hiao1
敵,ti2
敷,fu1
數,s`u4
整,ts`eng3
斂,lian3
斃,pi4
文,wen2
斑,pan1
斐,fei3
斗,tou4
料,liao4
斜,s^ie2
斟,ts`en1
斡,wo4
斤,ts^in1
斥,ts`hi4
斧,fu3
斫,ts`uo2
斬,ts`an3
斯,si1
新,s^in1
斷,tuan4
方,fang1
於,"u""2"
施,s`i1
旁,phang2
旅,"lu""3"
族,tsu2
旋,"s^u""an2"
旌,ts^ing1
旎,ni3
旗,ts^hi2
旖,yi3
既,ts^i4
日,z`i4
旦,tan4
早,tsao3
旨,ts`i3
旬,"s^u""n2"
旭,"s^u""4"
旱,han4
旺,wang4
昔,s^i1
易,yi4
昌,ts`hang1
昆,khun1
昂,ang2
明,ming2
昀,"u""n2"
昏,hun1
春,ts`hun1
昭,ts`ao1
映,ying4
昧,mei4
是,s`i4
星,s^ing1
昨,tsuo2
時,s`i2
晉,ts^in4
