char,word
嬪,
嬤,
嬸,thim2
孀,
子,ti2
孑,
孓,
孔,xong4
孕,zu-ng6
字,tu-6
存,ton3
孝,hieu2
孜,
孚,
孟,man~6
孤,ko1
季,kwi2
孩,hai3
孫,ton1
孰,
孳,
孱,
孵,
學,ho`k6
孺,n~o`6
孽,ngiet6
孿,
它,
宇,vu5
守,thu2
宅,
安,an1
完,ho`an3
宋,tong2
宏,
宗,tong1
定,din~6
官,kwan1
宜,ngi1
宙,ts`u6
宛,uien4
宣,tuien1
宦,
室,the@t2
客,xats'2
宥,
宰,te4
害,hai6
家,za1
宴,ien2
宮,
宵,
容,zung1
宸,
寇,xe@u2
寅,ze@n3
寄,gu-i4
寂,tits'6
宿,tuk2
密,me@t6
寒,han3
富,fu2
寓,ngu6
寐,mi6
寞,mits'6
寧,
寡,kwa4
寥,
實,thu-k6
寨,ts`ai6
寢,
寤,
察,sat2
寮,
寬,xo`an1
審,the@m4
寫,ta4
寵,sung4
寶,bao`4
寸,thon2
寺,
封,fo`ng1
射,sa6
尉,
專,ts'uien1
將,tu-o^ng2
尊,ton1
尋,te@m3
對,doi5
導,dao`6
小,tieu4
少,thieu4
尖,tiem1
尚,ts'uong6
尤,
尬,
就,
尷,
尸,the@i1
尺,sits'2
尼,ni1
局,kuk6
屁,
尿,
尾,vi5
屈,xue@t2
居,ku-1
屆,
屎,
屏,bin~3
屍,thi1
屋,ok2
屑,
展,ts`ien4
屐,
屠,do3
屜,
屢,lu5
層,te@ng3
履,
屬,thuok6
屯,ts`ue@n1
山,so^n1
屹,nge@t6
岐,
岑,se@m3
岔,
岌,nge@p6
岷,
岡,
岸,ngan3
岩,n~am1
岫,
岱,doi3
岳,
峙,
峭,
峽,zap2
峻,
峪,
峨,
峰,
島,dao`4
崁,
崇,sung3
崆,
崎,
崛,
崖,zai1
崢,
崑,kon1
崩,
崔,thoi1
崙,so`n1
嵌,
嵐,
嵩,tung1
嶄,ts'o^m4
嶇,
嶝,
嶼,
嶺,
嶽,
巍,ngui1
巔,
巒,
巖,n~am1
川,suien1
州,ts'e@u1
巢,sao`3
工,kong1
巨,
巧,sao`4
左,ta4
巫,
差,sai1
己,ki4
已,zi5
巳,ti6
巴,ba1
巷,
巽,ron2
巾,ke@n1
市,thi6
布,bo2
帆,
希,ho^i1
帘,
帚,
帖,thiep2
帕,
帛,
帑,no1
帝,de@i2
帥,so`ai2
席,
師,su-1
常,thu-o^ng3
帶,dai1
帳,ts`u-o^ng2
帷,
幅,bu-k2
帽,mao`5
幀,ts`an~1
幌,
幛,ts`u-o^ng2
幣,ze'4
幕,
幗,
幔,man3
幢,ts'o`ang3
幟,si2
幫,
干,kan1
平,bin~3
并,
年,nen1
幸,
幹,
幻,ao`4
幼,e@u2
幽,
幾,
序,tu-a6
庇,
床,sang3
庚,kan~1
店,diem2
府,fu4
底,de4
庖,
庠,
度,do6
庫,xo`1
庭,din~3
座,to`a3
康,xang1
庸,
庶,thu-2
庵,am1
庾,
廊,lang1
廁,si2
廂,ru-o^ng1
廉,liem1
廈,he'3
廓,kwats'2
廖,
廢,fe2
廚,ts'u3
廟,mieu2
廝,
廣,kwang4
廠,su-o^ng4
龐,
廬,
廳,
廷,din~3
延,zang1
建,kien2
廿,
弁,
弄,long6
弈,
弊,te6
式,thu-k2
弒,
弓,kung1
弔,dieu2
引,ze@n5
弘,
弗,fe@t2
弛,
弟,de6
弦,
弧,
弩,no`4
弭,
弱,n~u-o^k6
張,ts`u-o^ng1
強,kang3
弼,ba^t6
彆,
彈,dan3
彌,
彎,
彗,
彙,
彞,
彤,
形,hin~3
彥,
彬,ba^n1
彩,thai2
彫,dieu1
彭,ban~3
彰,
影,an~4
彷,fang4
役,zits'6
往,vang5
征,ts'in~1
彿,fo^t2
彼,bi4
很,
待,dai5
徊,hoi3
律,lue@t6
徇,
後,he@u6
徒,do3
徑,
徐,ts'o^3
得,da^k2
徙,
從,to`ng3
徘,boi3
御,ngu-6
復,
循,
徨,
徬,bang3
微,vi1
徹,ts`iet6
德,du-k2
徵,ts`u-ng1
徽,
心,te@m1
必,te@t2
忙,mang1
忖,thon4
忘,vo`ng1
忌,ki6
志,ts'i2
忍,n~e@n5
忱,the@m3
快,xo`ai2
忝,tho`m4
忠,ts`ung1
忽,hot2
念,niem6
忿,fe@n5
怏,
怔,
怯,xiep2
怵,ts`uot6
怖,bo2
怪,
怕,
怡,
性,tin~2
怒,no6
思,tu-1
怠,
急,ke@p2
怎,ts'e@n4
怨,o`an2
恍,ho`ang4
恰,
恨,he@n6
恢,
恆,
恃,
恬,diem3
恫,
恪,xak2
恤,
恙,
恣,
恥,
恐,xung4
恕,thu-2
恭,kung1
恩,e@n1
息,tu-k2
悄,
悟,
悚,
悍,han5
悔,hoi2
悌,de5
悅,zot6
悖,
